stem,image_path,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,method,steps,seed,support_source
000005,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000005.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000007,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000007.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000009,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000009.png,1,1,0.07195733,0.07675200,0.06274509,35.968360,tausb_mask,40,0,pseudo_fallback
000012,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000012.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000016,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000016.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000017,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000017.png,1,1,0.04769345,0.05018887,0.06274509,38.260876,tausb_mask,40,0,pseudo_fallback
000019,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000019.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000020,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000020.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000021,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000021.png,1,1,0.40400000,0.41696429,0.06274509,28.485840,tausb_mask,40,0,pseudo_fallback
000023,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000023.png,1,1,0.65391617,0.66822754,0.06274509,26.455040,tausb_mask,40,0,pseudo_fallback
000024,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000024.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000026,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000026.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000030,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000030.png,1,1,0.12396800,0.12999467,0.06274509,33.528139,tausb_mask,40,0,pseudo_fallback
000032,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000032.png,1,1,0.00848399,0.01036299,0.06274509,45.249334,tausb_mask,40,0,pseudo_fallback
000033,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000033.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000034,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000034.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000035,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000035.png,1,1,0.35665067,0.36468267,0.06274509,28.966695,tausb_mask,40,0,pseudo_fallback
000036,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000036.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000039,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000039.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000041,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000041.png,1,1,0.09501502,0.09923724,0.06274509,34.852512,tausb_mask,40,0,pseudo_fallback
000042,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000042.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000044,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000044.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000046,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000046.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000047,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000047.png,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,0,none
000048,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed0/images/train/000048.png,1,1,0.50894400,0.51636800,0.06274509,27.394299,tausb_mask,40,0,pseudo_fallback
